source,target,tgt_lng 
LT1790-1.25,LT1790-1.25,
IIR,无限冲激响应,
Figure 19.4,图19.4,
Figure 19.9,图19.9,
LT1460CS8-2.5,LT1460CS8-2.5,
Figure 35.11,图35.11,
Figure 35.12,图35.12,
Figure 35.10,图35.10,
LT1021,LT1021,
LT1236,LT1236,
Charles Wheatstone,查尔斯·惠斯通,
S. H. Christie,S. H. 克里斯蒂,
1833,1833年,
Resistance bridges,电阻电桥,
Figure 32.1,图32.1,
Bridge readout—then and now,电桥读出——过去与现在,
Analog Circuit and System Design: A Tutorial Guide to Applications and Solutions,模拟电路与系统设计：应用与解决方案教程指南,
Elsevier Inc.,爱思唯尔公司,
Application Note,应用笔记,
Tektronix P6133,泰克P6133,
buffer operational amplifier,缓冲运算放大器,
741 breadboard,741面包板,
switched-capacitor filters,开关电容滤波器,
A-to-D converters,模数转换器,
D-to-A converters,数模转换器,
chopper-stabilized operational amplifiers,斩波稳定型运算放大器,
sampled data comparators,采样数据比较器,
LTC’s Application Group,凌力尔特公司应用组,
Figure 31.3,图31.3,
5V to ±15V switcher module,5V至±15V开关电源模块,
Figure 31.7,图31.7,
Figure 31.6,图31.6,
8th Order Elliptic Lowpass Filter,8阶椭圆低通滤波器,
fCLK = 2MHz,时钟频率为2MHz,
fCUTOFF = 20kHz,截止频率为20kHz,
VS = ±8V,电源电压为±8V,
Figure 31.8,图31.8,
LT1007,LT1007,
D-to-A converter,数模转换器,
DACs,数模转换器,
12-bit D-to-A converters,12位数模转换器,
16-bit DACs,16位数模转换器,
1LSB linearity error,1LSB线性误差,
1ppm/°C drift,1ppm/°C漂移,
Automatic test equipment,自动测试设备,
calibration apparatus,校准装置,
laser trimmers,激光修调器,
medical electronics,医疗电子设备,
20-bit DACs,20位数模转换器,
23+ bit DACs,23位以上数模转换器,
standards labs,标准实验室,
LTC2400,LTC2400,
Figure 22.1,图22.1,
Verifying data converter linearity to 1ppm,验证数据转换器线性度至1ppm,
"Sheingold, D. H.",谢因戈尔德，D. H.,
1976,1976年,
"Kitchen, C.",基钦，C.,
"Counts, L.",康茨，L.,
RMS-to-DC Conversion Guide,均方根至直流转换指南,
General Radio Company,通用无线电公司,
Type 1390B Random Noise Generator,1390B型随机噪声发生器,
October 1961,1961年10月,
1968 Instrumentation. Electronic—Analytical—Medical,1968年仪器仪表：电子—分析—医疗,
AC Voltage Measurement,交流电压测量,
1968,1968年,
"Justice, G.",贾斯特，G.,
An RMS-Responding Voltmeter with High Crest Factor Rating,高波峰因数额定值的均方根响应电压表,
January 1964,1964年1月,
Model HP3400A RMS Voltmeter Operating and Service Manual,HP3400A型均方根电压表操作与维修手册,
September 1987,1987年9月,
"Ott, W.E.",奥特，W. E.,
A New Technique of Thermal RMS Measurement,一种新型热式均方根测量技术,
IEEE Journal of Solid State Circuits,IEEE固态电路学报,
December 1974,1974年12月,
"Williams, J.M.",威廉姆斯，J. M.,
"Longman, T.L.",朗曼，T. L.,
A 25MHz Thermally Based RMS-DC Converter,一款25 MHz热式均方根至直流转换器,
1986 IEEE ISSCC Digest of Technical Papers,1986年IEEE国际固态电路会议技术论文摘要,
"O’Neill, P.M.",奥尼尔，P. M.,
A Monolithic Thermal Converter,单片热式转换器,
H.P. Journal,惠普期刊,
May 1980,1980年5月,
low noise LDO,低噪声低压差稳压器,
CBYP,CBYP,
window comparator,窗口比较器,
Box Section C,方框部分C,
parasitic effects,寄生效应,
test equipment,测试设备,
micropower circuits,微功耗电路,
oscilloscope probes,示波器探头,
FET probes,场效应管探头,
DVMs,数字电压表,
charge spitting,电荷喷射,
bypass capacitor,旁路电容,
Figure 15.9,图15.9,
FB node,FB节点,
primary inductance,初级电感,
continuous mode,连续导通模式,
discontinuous mode,断续模式,
minimum load,最小负载,
snubber,缓冲电路,
normal mode flyback regulators,正常模式反激稳压器,
transformer T1,变压器T1,
trifilar wound,三线并绕,
air gap,气隙,
magnetic flux density,磁通密度,
core saturation,磁芯饱和,
winding current,绕组电流,
inductance,电感,
core permeability,磁芯磁导率,
magnetic path length,磁路长度,
cross-sectional area,截面积,
cycle-by-cycle current limiting,逐周期电流限制,
topology,拓扑结构,
winding window,绕线窗口,
gapped core,带气隙磁芯,
effective permeability,有效磁导率,
Snubber capacitors,缓冲电容,
dielectric loss,介质损耗,
ceramic,陶瓷,
silvered mica,镀银云母,
plastic film-foil capacitors,塑料薄膜-箔电容,
Snubber resistors,缓冲电阻,
metal film,金属膜,
carbon film,碳膜,
carbon composition resistors,碳合成电阻,
wirewound resistors,线绕电阻,
passive switches,无源开关,
diodes,二极管,
active switches,有源开关,
transistors,晶体管,
loop inductance,环路电感,
turn-off voltage overshoot,关断电压过冲,
clamp Zeners,钳位齐纳二极管,
TransZorb,TransZorb,
overvoltage protection,过压保护,
junction capacity,结电容,
lead ESL,引线等效串联电感,
high permeability ferrite bead,高磁导率铁氧体磁珠,
dual rectifier diodes,双整流二极管,
anode lead inductances,阳极引线电感,
teeter-totter oscillation,跷跷板振荡,
R-C snubber,RC缓冲电路,
Magnetic field Sniffer Probe,磁场探针,
Regulator high frequency rejection,稳压器高频抑制,
logic output,逻辑输出,
dropout,压差,
output shutdown,输出关断,
Rejection thermometer,抑制型温度计,
high noise,高噪声,
Relative humidity (RH),相对湿度（RH）,
charge pump based,基于电荷泵的,
time domain bridge based,基于时域电桥的,
Relative humidity signal conditioner,相对湿度信号调理器,
Repetitive signals sample-and-hold for,重复信号采样保持电路,
Residual I-Q phase error,残余I-Q相位误差,
Resistor ratio set,电阻比设定,
Resonant frequency,谐振频率,
Resonant magnetic high voltage transformers,谐振磁高压变压器,
Resonant RLC circuit,谐振RLC电路,
Response time overvoltage protection circuit,过压保护电路响应时间,
RF leveling loop,射频电平控制环路,
RF output spectra,射频输出频谱,
Ringing between clamp zener and capacitor,钳位齐纳二极管与电容间的振铃,
paralleled dual rectifiers,并联双整流器,
paralleled ‘‘snubber’’ capacitors,并联缓冲电容,
transformer shield leads,变压器屏蔽引线,
Ripple current,纹波电流,
Ripple frequency,纹波频率,
Ripple rejection test setup includes sine wave generator,纹波抑制测试设置（含正弦波发生器）,
linear regulators,线性稳压器,
Ripple/spike simulator,纹波/尖峰模拟器,
Rise-time system,上升时间系统,
AC measurement and signal handling practice,交流测量与信号处理实践,
AC voltage standard with stable frequency and low distortion,频率稳定且低失真的交流电压标准,
adjustable AC line voltage regulator,可调交流线路电压稳压器,
alternatives to RMS,真有效值替代方案,
bandwidth and supply requirements,带宽与电源要求,
basic circuits,基本电路,
conceptual AC/DC converter,概念性交直流转换器,
definition of RMS,真有效值定义,
error plot for isolated line monitor,隔离式线路监测器误差图,
isolated power line monitor senses via transformer,通过变压器感应的隔离式电力线路监测器,
Isolated RMS Converter,隔离式真有效值转换器,
linearity of an RMS-to-DC converter,真有效值转直流转换器的线性度,
low distortion AC line RMS voltage regulator,低失真交流线路真有效值电压稳压器,
Pin Descriptions,引脚说明,
RMS amplitude stabilized level controller,真有效值幅度稳定电平控制器,
RMS Converter Pin Functions,真有效值转换器引脚功能,
RMS leveled output random noise generator,真有效值电平控制的随机噪声发生器,
RMS-to-DC converter working,真有效值转直流转换器工作原理,
LTC1966/LTC1967/LTC1968,LTC1966/LTC1967/LTC1968,
switched gain 10MHz (–3dB) preamplifier,10 MHz（–3 dB）开关增益前置放大器,
typical SCR-based converter waveforms,典型晶闸管型转换器波形,
"wideband, fully isolated 2500V breakdown",宽带全隔离2500 V击穿,
"wideband, isolated, quartz crystal RMS current measurement",宽带隔离式石英晶体真有效值电流测量,
Root of mean of the square (RMS) current,均方根电流,
normalized input ripple current,归一化输入纹波电流,
DC measurements,直流测量,
display detector mode,显示检测器模式,
"voltmeter, accuracy plot for",电压表精度图,
vs. peak-to-peak noise,相对于峰峰值噪声,
Royer class converter,罗耶式变换器,
RSET node considerations,RSET节点考虑事项,
RSET pin,RSET引脚,
LTC1504,LTC1504,
Figure 17.2,图17.2,
Figure 17.4,图17.4,
1W shunt,1Ω分流器,
1N5817,1N5817,
Figure 17.5,图17.5,
LT1970,LT1970,
galvanically isolated thermistor digitizer,电隔离热敏电阻数字转换器,
inverse resistance vs frequency relationship,电阻倒数与频率关系,
Rset vs output frequency for the three divider pin states,Rset与三种分频引脚状态下的输出频率关系,
LTC2051 bias current,LTC2051偏置电流,
LTC2440 speed,LTC2440速度,
buffer for,缓冲器,
speed vs. RMS noise,速度与均方根噪声关系,
circuit slopes edge drive for low noise and better efficiency,电路斜率边沿驱动（用于低噪声和更高效率）,
LTC2400 A-to-D converter,LTC2400模数转换器,
key specifications,关键规格,
LTC1150 chopper-stabilized amplifier,LTC1150斩波稳定放大器,
LTC1923 controller,LTC1923控制器,
LTC/CTS wireless components,凌力尔特/CTS无线器件,
LTC1157 dual 3.3V MOSFET driver,LTC1157双路3.3V MOSFET驱动器,
LTC1064-4 elliptic filter,LTC1064-4椭圆滤波器,
frequency domain response of,频域响应,
LTC2411 input resolution of,LTC2411输入分辨率,
LTC1799 master oscillator frequency,LTC1799主振荡器频率,
LT1025 cold junction,LT1025冷端,
compensator,补偿器,
offset error,失调误差,
LTC6900 oscillator,LTC6900振荡器,
LTC1696 overvoltage protection controller,LTC1696过压保护控制器,
LTC1044 positive-to-negative converter,LTC1044正转负转换器,
LTC1148 regulator family applications,LTC1148稳压器系列应用,
high efficiency regulator with manual burst mode operation,高效率手动突发模式稳压器,
LTC1504 switching regulator,LTC1504开关稳压器,
LT1193 differential amplifier,LT1193差分放大器,
LT1432 driver regulator burst mode operation,LT1432驱动稳压器突发模式操作,
feedback pin (FB),反馈引脚（FB）,
5Vefficiency,5V效率,
LT1123 dropout voltage,LT1123压差电压,
LT1034 furnishes bridge,LT1034提供电桥,
LT1014 high open-loop gain,LT1014高开环增益,
LT1763 low dropout linear regulator,LT1763低压差线性稳压器,
ripple rejection characteristics for,纹波抑制特性,
LT1533 low noise switching regulator,LT1533低噪声开关稳压器,
LTM4601 soft-start feature,LTM4601软启动功能,
LT1108-5 micropower DC to DC converter,LT1108-5微功耗DC-DC转换器,
LT1121 micropower low dropout regulator,LT1121微功耗低压差稳压器,
LTM4601 mmodule regulators,LTM4601 µModule稳压器,
DC/DC regulator,DC/DC稳压器,
advantage,优势,
output features,输出特性,
LT1054 plus-to-minus voltage converter,LT1054正转负电压转换器,
LT1086 positive voltage regulator,LT1086正电压稳压器,
LT1970 power amplifier/current source,LT1970功率放大器/电流源,
LT1228 sampling switch,LT1228采样开关,
LT1070 switch,LT1070开关,
internal details,内部细节,
output transient response,输出瞬态响应,
physiology of,工作原理,
testing loop stability,环路稳定性测试,
LT1070 switch design manual,LT1070开关设计手册,
absolute maximum ratings,绝对最大额定值,
application circuits,应用电路,
current steering diode,电流转向二极管,
short-circuit conditions,短路条件,
basic switching regulator topologies,基本开关稳压器拓扑结构,
boost regulators,升压稳压器,
combined buck-boost regulator,组合式升降压稳压器,
Cuk converter,Cuk变换器,
current-boosted boost converter,电流增强型升压变换器,
current-boosted buck converter,电流增强型降压变换器,
core manufacturers,磁芯制造商,
2nd Edition,第二版,
Lambda Electronics,兰姆达电子公司,
Model LK-343A-FM Manual,LK-343A-FM型手册,
General Electric,通用电气公司,
AN200.19,应用说明AN200.19,
Jan. 1967,1967年1月,
Performance Enhancement Techniques for Three-Terminal Regulators,三端稳压器性能增强技术,
Linear Technology Corp.,凌力尔特公司,
AN-2,应用说明AN-2,
"August, 1984",1984年8月,
SCR Preregulator,可控硅预稳压器,
High Efficiency Linear Regulators,高效率线性稳压器,
Application Note 32,应用说明32号,
March 1989,1989年3月,
Parallel Path Amplifiers,并联路径放大器,
Broadband Random Noise Generator,宽带随机噪声发生器,
RMS Voltmeters,真有效值电压表,
"Meacham, L. A.",米查姆，L. A.,
Vol. 17,第17卷,
October 1938,1938年10月,
Bridge Circuits—Marrying Gain and Balance,电桥电路——增益与平衡的结合,
"June, 1990",1990年6月,
Joseph Petrofsky,约瑟夫·彼得罗夫斯基,
RMS amplitude,真有效值幅度,
heating potential,热效应,
1VRMS AC waveform,1伏真有效值交流波形,
resistive load,阻性负载,
1V DC,1伏直流,
root of the mean of the square,平方平均根,
peak detection,峰值检测,
average rectification,平均整流,
DC value,直流值,
sine waves,正弦波,
Table A1,表A1,
multilayer ceramic capacitor structure,多层陶瓷电容器结构,
Figure A4,图A4,
inter-digitated plate configuration,叉指电极结构,
section A-A,A-A截面,
polarization directions,极化方向,
thickness mode,厚度振动模式,
voltage step-up ratio,电压升压比,
series resonant magnetic counterpart,串联谐振磁性对应器件,
Young’s modulus,杨氏模量,
length resonance,长度谐振,
vibrating string,振动弦,
ultrasonic range,超声频段,
50kHz,50 kHz,
2MHz,2 MHz,
displacement nodes,位移波节,
anti-nodes,位移波腹,
Figure 34.39,图34.39,
ground planes,接地平面,
LRC effects,LRC效应,
wave solder,波峰焊,
Figure B9,图B9,
Inductor Test Facility,电感器测试设施,
"500mH, Low Capacity Core Inductor",500毫亨、低容量磁芯电感器,
"55mH, High Capacity Core Unit",55毫亨、高容量磁芯单元,
Note 13,注13,
Figure 39.8,图39.8,
24-hour dielectric absorption soak time,24小时介质吸收浸泡时间,
775nV peak-to-peak,775纳伏峰峰值,
0.1Hz to 10Hz noise source,0.1赫兹至10赫兹噪声源,
root-sum-square error correction coefficient,均方根误差校正系数,
LSK-389 Data Sheet,LSK-389数据手册,
Linear Integrated Systems,线性集成系统公司,
2SK-369 Data Sheet,2SK-369数据手册,
Toshiba,东芝公司,
LTC6655 Data Sheet,LTC6655数据手册,
LT1533 Data Sheet,LT1533数据手册,
"Owen, Todd",欧文，托德,
"Performance Verification of Low Noise, Low Dropout Regulators",《低噪声、低压差稳压器的性能验证》,
Application Note 83,应用笔记83,
March 2000,2000年3月,
Low Noise Varactor Biasing with Switching Regulators,《采用开关稳压器实现低噪声变容二极管偏置》,
Application Note 85,应用笔记85,
August 2000,2000年8月,
Minimizing Switching Regulator Residue in Linear Regulator Outputs,《最小化线性稳压器输出中开关稳压器残留噪声》,
Application Note 101,应用笔记101,
July 2005,2005年7月,
"High Voltage, Low Noise, DC-DC Converters",《高压、低噪声DC-DC转换器》,
Application Note 118,应用笔记118,
March 2008,2008年3月,
Type 1A7 Plug-In Unit Operating and Service Manual,1A7型插件单元操作与维修手册,
Type 1A7A Differential Amplifier Operating and Service Manual,1A7A型差分放大器操作与维修手册,
Type 7A22 Differential Amplifier Operating and Service Manual,7A22型差分放大器操作与维修手册,
AM502 Differential Amplifier Operating and Service Manual,AM502型差分放大器操作与维修手册,
74HC4051,74HC4051,
EDN Magazine,EDN杂志,
January 1982,1982年1月,
LT198A Data Sheet,LT198A数据手册,
LM135 Data Sheet,LM135数据手册,
National Semiconductor Corporation,美国国家半导体公司,
1978,1978年,
Application Note 298,应用笔记298,
May 1982,1982年5月,
Figure 25.4,图25.4,
biochemical microcalorimetry reaction chamber,生化微量量热反应室,
Figure 25.5,图25.5,
60Hz broadband noise source,60 Hz宽带噪声源,
phase potentiometer,相位电位器,
Figure 25.6,图25.6,
LTC1043A,LTC1043A,
LTC1043B,LTC1043B,
LT1072,LT1072,
magnetics manufacturer,磁性元件制造商,
74C14 inverter,74C14反相器,
Figure 30.14,图30.14,
2.2k resistor,2.2千欧电阻,
L1's primary,L1初级绕组,
L1's secondary,L1次级绕组,
Q2's emitter,Q2发射极,
A5's signal conditioned thermocouple voltage,A5调理后的热电偶电压,
Pins 3 to 6,3至6引脚,
sample-hold amplifier,采样保持放大器,
22mF capacitor,22毫法电容,
Pin 1-Pin 4 winding,1至4引脚绕组,
470k-75pF differentiator,470千欧–75皮法微分电路,
I5-I6 inverter chain,I5-I6反相器链,
Trace G,波形G,
350Hz,350赫兹,
Figure 8.8,图8.8,
Figure 8.9,图8.9,
Figure 8.10,图8.10,
Figure 8.11,图8.11,
Figure 8.12,图8.12,
Figure 8.13,图8.13,
Figure 8.14,图8.14,
HP4195A spectrum analyzer,HP4195A频谱分析仪,
Figure 8.15a,图8.15a,
Figure 8.15b,图8.15b,
Figure 8.16,图8.16,
Figure 8.17,图8.17,
Figure 8.18,图8.18,
Figure 33.93,图33.93,
photo integrator,光电积分器,
reset switch,复位开关,
charge injection error,电荷注入误差,
Figure 33.94,图33.94,
grounded follower,接地跟随器,
0V,0伏,
photocurrent,光电流,
A-D converter,模数转换器,
10pF,10皮法,
output droop rate,输出漂移率,
0.2V/ms,0.2伏/毫秒,
nanoseconds,纳秒,
milliseconds,毫秒,
nanoamperes,纳安,
microamperes,微安,
microwatts,微瓦,
milliwatts,毫瓦,
A1’s 75pA bias current,A1的75皮安偏置电流,
12V output swing,12伏输出摆幅,
charge cancellation network,电荷抵消网络,
full-scale accuracy,满量程精度,
trimmer capacitor,可调电容,
Figure 34.3,图34.3,
Figure 34.4,图34.4,
Figure 34.5,图34.5,
Figure 34.6,图34.6,
Tutorial section,教程部分,
About bypass capacitors,关于旁路电容,
About probes and probing techniques,关于探头及探测技术,
discontinuous mode operation,断续模式运行,
Buck regulators,降压稳压器,
Figure 5.10a,图5.10a,
Figure 5.11a,图5.11a,
Figure 5.11b,图5.11b,
V(cid:1),V(cid:1),
51kW,51 kΩ,
APD bias line,雪崩光电二极管偏置线,
10k,10千欧,
100k,100 kΩ,
current shunt,电流分流器,
Michael Negrete,迈克尔·内格雷特,
Figure 18.6,图18.6,
LT1930A,LT1930A,
diode-capacitor network tripler,二极管-电容网络三倍压器,
R1-R2,R1-R2,
10W,10瓦,
Figure 18.7,图18.7,
Figure 18.5,图18.5,
A single rail amplifier with true zero volt output swing,具有真正零伏输出摆幅的单电源放大器,
Low error feedback signal derivation techniques,低误差反馈信号提取技术,
Reference 7,参考文献7,
Appendices B and C,附录B和附录C,
RDS(ON) FETs,导通电阻FET,
compensation circuitry,补偿电路,
LTM4601HV,LTM4601HV,
mModule regulator,mModule稳压器,
LTC6902 oscillator,LTC6902振荡器,
phase-locked loop,锁相环,
phase detector,相位检测器,
voltage controlled oscillator,压控振荡器,
Figure 9.2,图9.2,
Figure 9.3,图9.3,
adaptive trigger,自适应触发器,
BNC photo-simulation,BNC光电仿真,
Field-to-current-to-charge-to-voltage conversion,场-电流-电荷-电压转换,
Filter attenuation,滤波器衰减,
frequency response,频率响应,
constant clock,恒定时钟,
passband accuracy,通带精度,
selection guide,选型指南,
stopband,阻带,
time domain,时域,
Five nanosecond rise time pulse generator,5纳秒上升时间脉冲发生器,
Flash memory VP-P generation,闪存峰峰值生成,
Flip-flop changes state,触发器状态翻转,
Flip-flop output,触发器输出,
Floating battery-powered laser simulator,浮地电池供电激光仿真器,
input bridge instrumentation amplifier,输入桥式仪表放大器,
trigger probe,触发探头,
eliminating ground loop,消除接地环路,
Flux density,磁通密度,
Flyback converters,反激式变换器,
output diode (D1),输出二极管（D1）,
output divider,输出分压器,
snubber design,缓冲电路设计,
waveforms at 7W loading,7W负载下的波形,
Flyback mode error amplifier,反激模式误差放大器,
Flyback-regulated operation,反激稳压工作模式,
Flyback regulators,反激稳压器,
waveforms at 14W loading,14W负载下的波形,
Foil conductors,箔导体,
Foldback current,折返电流,
limiting,限流,
Four-FPGA design DC/DC regulator solution,四FPGA设计DC/DC稳压器方案,
Fred’s inductor,弗雷德电感,
FREQ SET,频率设定,
Frequency domain (spectrum analyzer) plot,频域（频谱分析仪）图,
Frequency-to-voltage converter,频率-电压转换器,
Fully-isolated regulator’s waveforms,完全隔离稳压器的波形,
Gain bandwidth,增益带宽,
slope,斜率,
Galvanically isolated signal path,电气隔离信号路径,
Gaussian noise,高斯噪声,
GR874 adaptor,GR874适配器,
Grounding oscilloscope,示波器接地,
Ground loops,接地环路,
G4’s settling time breadboard,G4建立时间试验板,
Guarding technique layout,保护技术布局,
Half-sine generator reference generator,半正弦发生器参考发生器,
timing and reference,定时与参考,
Half-sine software code for 2716 EPROM,2716 EPROM半正弦软件代码,
Hall device,霍尔器件,
Hall effect-based versions,基于霍尔效应的版本,
Halogen lamp light unaided vs. remote sensed/regulat,卤素灯直视光与远程传感/稳压光对比,
HCMOS amplifier,HCMOS放大器,
HCMOS inverters,HCMOS反相器,
HCMOS outputs,HCMOS输出,
68HC05 processor-based RTD linearization software code,基于68HC05处理器的RTD线性化软件代码,
Heater control amplifier,加热器控制放大器,
Hetrodyne based humidity transducer digitizer,基于外差法的湿度传感器数字转换器,
Hewlett-Packard 54120B avalanche pulse generator’s,惠普54120B雪崩脉冲发生器,
Hewlett’s thesis,休利特论文,
HEX2DEC function,十六进制转十进制函数,
High-accuracy systems,高精度系统,
High efficiency buck charger,高效率降压充电器,
Figure 33.25,图33.25,
common-mode limits,共模限值,
Figure 33.26,图33.26,
unity gain inverting,单位增益反相,
booster,升压器,
The oscillation problem—frequency compensation without tears,振荡问题——无需痛苦的频率补偿,
Figure 33.27,图33.27,
unity gain inverting op amp,单位增益反相运算放大器,
Figure 33.28,图33.28,
source impedance,源阻抗,
amplifier input capacitance,放大器输入电容,
band limit,带宽限制,
bias tee,偏置馈电器,
autotransformer,自耦变压器,
avalanche pulse generator,雪崩脉冲发生器,
RSET,RSET,
Figure 36.6,图36.6,
Figure 36.7,图36.7,
Figure 36.8,图36.8,
Figure 36.5,图36.5,
Platinum RTD Digitizer,铂电阻温度检测器数字化器,
ESI DB62,ESI DB62,
probe-oscilloscope response,探头-示波器响应,
LT1073,LT1073,
flyback voltage boost regulator,反激式升压稳压器,
diode-capacitor voltage step-up network,二极管-电容升压网络,
12.4GHz sampling oscilloscope,12.4 GHz采样示波器,
Figures 5.35 to 5.39,图5.35至图5.39,
Figure 5.35,图5.35,
Figure 5.36,图5.36,
Figure 5.37,图5.37,
foldback,折返式限流,
current limit point,限流点,
VC clamp voltage,VC钳位电压,
switch duty cycle,开关占空比,
30kHz,30千赫,
10kW,10千欧,
3V,3伏,
120ppm/°C,120 ppm/°C,
1000pF,1000皮法,
polystyrene,聚苯乙烯,
TRW # MTR-5/+120ppm,TRW # MTR-5/+120ppm,
100ns,100纳秒,
Figure 25.12b,图25.12b,
0.01mF,0.01毫法,
Figure 25.13,图25.13,
30pF-22k,30皮法-22千欧,
0.005%,0.005%,
1mF-330k,1毫法-330千欧,
RC,RC电路,
Figure 25.15,图25.15,
12-bit A!D converter,12位模数转换器,
25ms,25毫秒,
saturation loss,饱和损耗,
VBE,VBE,
bipolar,双极型,
channel on-resistance,导通沟道电阻,
MOS,MOS,
Darlington,达林顿,
follower output,射极跟随器输出,
3-terminal IC regulators,三端集成稳压器,
dropout voltage,压差电压,
common emitter/source,共发射极/共源极,
PNP,PNP,
IC,集成电路,
base current,基极电流,
base drive loss,基极驱动损耗,
LT176X,LT176X,
LT196X,LT196X,
common-source connected P-channel MOSFETs,共源极连接的P沟道MOSFET,
gate-channel bias,栅-沟道偏置电压,
low voltage applications,低压应用,
negative potentials,负电位,
P-channel devices,P沟道器件,
N-channel devices,N沟道器件,
voltage gain,电压增益,
loop stability,环路稳定性,
compound connections,复合连接,
PNP driven NPN,PNP驱动NPN,
high power,高功率,
VCE saturation,VCE饱和压降,
power NPN,功率NPN管,
monolithic,单片式,
LT1083,LT1083,
dynamic characteristics,动态特性,
ESR ceramic output capacitors,低等效串联电阻陶瓷输出电容,
LDO regulators,低压差稳压器,
transient performance,瞬态性能,
noise capacitor,去噪电容,
transient response,瞬态响应,
load step,负载阶跃,
amplitude,幅度,
passive probe,无源探头,
300 to 350MHz,300至350兆赫,
50W back-terminated source,50欧姆背端接信号源,
25W,25欧姆,
probe tip to BNC adaptor,探头尖端至BNC适配器,
3-wire ground system,三线接地系统,
ECB,印制电路板,
Figure 1-15,图1-15,
11pF passive probe,11皮法无源探头,
6-inch ground lead,6英寸接地引线,
140MHz,140兆赫,
"Figs 1-16A, B and C",图1-16A、B和C,
12-inch ground lead,12英寸接地引线,
C1B 3kHz oscillator,C1B 3kHz振荡器,
ClA,ClA,
Q1-Q2 current source,Q1-Q2电流源,
4mF capacitor,4毫法电容,
C1A,C1A,
100mF energy storage capacitor,100毫法储能电容,
RC base delay,RC基极延迟,
C1B's output,C1B输出端,
Q4's collector,Q4集电极,
TTL compatible,TTL兼容,
Figure 27.16,图27.16,
4700pF polystyrene capacitors,4700皮法聚苯乙烯电容,
4mF polystyrene capacitors,4毫法聚苯乙烯电容,
74C906 open-drain buffers,74C906开漏缓冲器,
LT1014 quad op amp,LT1014四通道运算放大器,
LT1013 dual,LT1013双通道运算放大器,
LT1017/LT1018 series,LT1017/LT1018系列,
flip-flop 2,触发器2,
4060 counter,4060计数器,
8-bit,8位,
80ms,80毫秒,
passive input,无源输入,
Figure 36.32,图36.32,
90ppm/°C drift,90 ppm/°C 漂移,
current source,电流源,
integrating capacitor,积分电容,
CLK1,CLK1,
CLK2-CLR2,CLK2-CLR2,
EIN,EIN,
Figure 36.33,图36.33,
8-Bit A/D Converter Waveforms,8位模数转换器波形图,
LT1431,LT1431,
REF,基准输入端,
VSUPPLY,电源电压,
Figure 17.7,图17.7,
Figure 17.8,图17.8,
FB,反馈输入端,
differential thermocouple amplifiers,差分热电偶放大器,
601 digital output thermocouple isolator,601型数字输出热电偶隔离器,
error sources in,误差源,
isolated thermocouple amplifiers,隔离式热电偶放大器,
linearization techniques,线性化技术,
in perspective,综述,
signal conditioning issues,信号调理问题,
Thermocouple-to-frequency converter,热电偶-频率转换器,
Thermoelectric cooler (TEC) temperature controller detailed schematic,热电制冷器（TEC）温度控制器详细原理图,
details,细节,
loop model,环路模型,
loop optimization,环路优化,
"loops, practical considerations in loop compensation",环路补偿中的实际考虑因素,
requirements,要求,
sensor time constants,传感器时间常数,
stability verification,稳定性验证,
Thermoelectric potentials,热电势,
Thermo-magnetism,热磁效应,
Dr. Seebeck’s arrangement for,塞贝克博士的实验装置,
Seebeck’s accidental discovery of,塞贝克的偶然发现,
Tightly coupled R-C snubber,紧密耦合RC缓冲电路,
Time amplifier construction,时间放大器结构,
Time-to-height converter,时间-高度转换器,
current source turn-off detail,电流源关断细节,
ramp switching,斜坡切换,
Total harmonic distortion (THD),总谐波失真（THD）,
definition of,定义,
Trade-offs include bandwidth,权衡因素包括带宽,
Transconductance amplifier,跨导放大器,
based switch,基于……的开关,
Transconductance switches,跨导开关,
Transducer vs circuit response,传感器与电路响应,
Transducer-based systems,基于传感器的系统,
based method,基于……的方法,
based sampling voltmeter,基于……的采样电压表,
cores with gaps,带气隙的磁芯,
current limit,电流限制,
"fed sampling voltmeter, schematic presentation",馈电式采样电压表（原理图表示）,
7500V Isolation version,7500 V隔离版本,
shield ringing typical fix,屏蔽振铃的典型解决方法,
transformer design example,变压器设计实例,
types,类型,
types used in text circuits,文中电路所用类型,
Transient voltage suppressor,瞬态电压抑制器,
Transition instabilities due to no ground plane,因无接地平面导致的过渡不稳定性,
load capacitance forces,负载电容效应,
5pF capacitance,5 pF电容,
3pF stray capacitive feedback,3 pF寄生电容反馈,
Triggerprobe amplifier,触发探头放大器,
analog,模拟式,
tip grounding attachment approximates coaxial connection,探头接地附件近似同轴连接,
with tip grounding attachment improves results,采用探头接地附件可改善结果,
TTL clock,TTL时钟,
TTL load,TTL负载,
Tunability,可调谐性,
Turn-off optimized series—shunt switch latching comparator drives,关断优化的串并联开关锁存比较器驱动电路,
Typical Di/Dt EMI problems,典型的di/dt电磁干扰问题,
rectifier reverse recovery,整流器反向恢复,
Typical EMI sniffer probe frequency,典型EMI探针探测频率,
Typical noise test setup,典型噪声测试配置,
Ultracompact LCD backlight inverters,超紧凑型LCD背光逆变器,
considerations and benefits,考虑因素与优势,
display parasitic capacitance effects,显示器件寄生电容效应,
"magnetic CCFL transformers, limitations and problems of",磁性冷阴极荧光灯（CCFL）变压器的局限性与问题,
PZT transformer control scheme development,PZT变压器控制方案开发,
LTC1034B,LTC1034B,
