source,target,tgt_lng 
load driving,负载驱动,
power supply generators,电源发生器,
"RS232 interfaces, new developments in",RS232接口新进展,
RS232 interfacing circuitry,RS232接口电路,
RS232 receiver,RS232接收器,
RS232 transceivers operation with +5V and +12V supplies,支持+5 V和+12 V供电的RS232收发器,
power supply tricks,电源设计技巧,
RS485 interface standard,RS485接口标准,
RS485 transceivers extending protection beyond ±60V,扩展保护能力至±60 V以上的RS485收发器,
reducing power and EMI,降低功耗与电磁干扰,
sustaining ±60V faults,承受±60 V故障电压,
transmission over long distances,长距离传输,
RS562 interface circuit,RS562接口电路,
RUN/SS capacitor,运行/软启动电容,
Philip Karantzalis,菲利普·卡拉恩塔利斯,
Free FilterCAD 3.0,免费FilterCAD 3.0,
256kHz linear phase lowpass filter,256 kHz线性相位低通滤波器,
5V power supply,5 V电源,
Quick Design window,快速设计窗口,
Lowpass,低通,
20dB,20 dB,
Passband (fC),通带（fC）,
Stopband (fS),阻带（fS）,
Linear Phase,线性相位,
Quick Implement window,快速实现窗口,
Linear Technology,凌力尔特公司,
switched capacitor,开关电容,
active RC,有源RC,
4th order Bessel response,四阶贝塞尔响应,
elliptic response,椭圆响应,
linearized phase,线性化相位,
passband,通带,
device package,器件封装,
filter schematic,滤波器原理图,
gain response,增益响应,
time response,时域响应,
step input,阶跃输入,
pulse input,脉冲输入,
sine-burst input,正弦猝发输入,
Figure 471.1,图471.1,
Figure 471.2,图471.2,
pulse overshoot,脉冲过冲,
Butterworth,巴特沃斯,
Bessel,贝塞尔,
Chebyshev,切比雪夫,
elliptic,椭圆,
minimum Q elliptic,最小Q值椭圆,
Quick Design/Implement,快速设计/实现,
Enhanced Design/Implement,增强型设计/实现,
www.linear.com,www.linear.com,
backplane,背板,
48V (±5%),48V（±5%）,
Hot Swap controller,热插拔控制器,
8-bit ADC,8位模数转换器,
GPIO pin,通用输入输出引脚,
Figure 252.1,图252.1,
ADIN pin,ADIN引脚,
fuse,保险丝,
Class A,A类,
Table 431.1,表431.1,
2.5MHz,2.5 MHz,
±5V,±5V,
3VP–P,3 V峰峰值,
rail-to-rail pulse-width modulator,轨到轨脉宽调制器,
binary modulation schemes,二进制调制方案,
Class AB,AB类,
Figure 431.2,图431.2,
pulse-width modulation,脉宽调制,
integrator,积分器,
comparator A,比较器A,
comparator B,比较器B,
PWM,脉宽调制,
Walt Jung,沃尔特·杨,
SPICE,SPICE,
LT1012D,LT1012D,
OP-07,OP-07,
Boyle et al. [1],博伊尔等[1],
741,741,
Greg Dittmer,格雷格·迪特默,
P-channel MOSFETs,P沟道MOSFET,
charge-pump circuit,电荷泵电路,
NiMH,镍氢,
−ΔV,负电压变化,
ΔT/Δt,温升速率,
Operational Amplifier Design Techniques,运算放大器设计技术,
Section 29,第29节,
1M resistor,1兆欧电阻,
130nV/√Hz,130纳伏每根号赫兹,
room temperature,室温,
0.41nV/Hz,0.41纳伏每赫兹,
100kHz,100 kHz,
Discrete JFETs,分立结型场效应晶体管,
ultralow voltage noise,超低电压噪声,
input capacitance,输入电容,
IFN147,IFN147,
500pF,500皮法,
large-area photodiode,大面积光电二极管,
noise gain,噪声增益,
Table 430.1,表430.1,
Figure 430.3,图430.3,
SFH213,SFH213,
transimpedance amplifier,跨阻放大器,
650kHz bandwidth,650千赫兹带宽,
660pF photodiode,660皮法光电二极管,
gain bandwidth product,增益带宽积,
1.8GHz,1.8吉赫兹,
IDSS current,IDSS电流,
VGS = 0V,栅源电压为0伏,
100pA maximum input offset current,最大100皮安输入失调电流,
R1C1,R1C1,
R3C3,R3C3,
current noise,电流噪声,
thermal noise,热噪声,
low noise op amp,低噪声运算放大器,
JFET gate,JFET栅极,
reverse bias,反向偏置,
photodiode,光电二极管,
dark current,暗电流,
feedback impedances,反馈阻抗,
0.5pF,0.5皮法,
75pF,75皮法,
300kHz,300千赫兹,
325MHz gain bandwidth,325兆赫兹增益带宽,
unity-gain-stable op amp,单位增益稳定型运算放大器,
2.4GHz,2.4吉赫兹,
open-loop gains,开环增益,
2.4 million,240万,
350 billion,3500亿,
fast loop,快速环路,
slow loop,慢速环路,
1M feedback resistor,1兆欧反馈电阻,
Supercapacitor Charging,超级电容器充电,
ride-through time,保持供电时间,
Figure 242.2,图242.2,
Buck (Step-Down),降压（Buck）,
LTC,凌力尔特公司,
3.3V/5V power solution,3.3 V/5 V电源解决方案,
Figure 108.3,图108.3,
3.3V output,3.3V输出,
equivalent series resistance,等效串联电阻,
ripple current rating,纹波电流额定值,
capacitor current ratings,电容器电流额定值,
I2R heating,I²R发热,
thermal time constant,热时间常数,
QP2,QP2,
transformer,变压器,
aluminum electrolytic capacitors,铝电解电容器,
C1 to C6,C1至C6,
C15 to C18,C15至C18,
Nichicon “PL” series,尼吉康PL系列,
United Chemi-Con “LXF” series,联合化学“LXF”系列,
Sanyo 10SA220MOS-CON capacitors,三洋10SA220MOS-CON电容器,
"220μF, 10V",220 μF，10 V,
VIN ≥ 12V,输入电压≥12 V,
Pin 10,引脚10,
PCB layout,PCB布局,
Demonstration Board,演示板,
DC027A,DC027A,
Hurricane Electronics Lab,飓风电子实验室,
HL-8700,HL-8700,
Beckman Industrial Corporation,贝克曼工业公司,
HM00-93839,HM00-93839,
AVX “TPS” series,AVX TPS系列,
tantalum input filter capacitors,钽输入滤波电容器,
C5/C6,C5/C6,
C17/C18,C17/C18,
voltage derating,电压降额,
current derating,电流降额,
dV/dt,电压变化率,
dI/dt,电流变化率,
switch closure to a battery pack,开关接通电池组,
Glen Brisebois,格伦·布里斯博伊斯,
IDRAIN,漏极电流,
IDSS,饱和漏极电流,
SOT,SOT封装,
SO,SO封装,
Michael K. Mayes,迈克尔·K·梅耶斯,
LTC2401,LTC2401,
FSSET,满量程设定输入,
ZSSET,零量程设定输入,
RTD,电阻温度检测器,
PROG,编程引脚,
BAT,BAT引脚,
NMOS FETs,NMOS场效应晶体管,
NPNs,NPN晶体管,
PNP,PNP,
DAC,数模转换器,
nickel-cadmium,镍镉,
nickel-metal-hydride,镍金属氢化物,
LEDs,发光二极管,
Figure 210.2,图210.2,
low noise differential circuits,低噪声差分电路,
dual amplifier building block,双放大器构建模块,
digitally tuned anti-aliasing/reconstruction filter,数字调谐抗混叠/重建滤波器,
high performance DSP design,高性能DSP设计,
discrete lowpass filters,分立式低通滤波器,
FilterCAD 3.0,FilterCAD 3.0,
"SOT-23 micropower, rail-to-rail op amps",SOT-23微型功耗轨到轨运算放大器,
universal filter family,通用滤波器系列,
1MHz lowpass filter,1MHz低通滤波器,
8th order monolithic filters,八阶单片滤波器,
"1mV offset, clock-tunable, monolithic 5-pole lowpass filter",1mV失调、时钟可调、单片五阶低通滤波器,
High dynamic range bandpass filters,高动态范围带通滤波器,
Switched-capacitor lowpass filters,开关电容低通滤波器,
anti-aliasing applications,抗混叠应用,
Chopper amplifiers,斩波放大器,
DC accurate lowpass filter,直流精确低通滤波器,
PLL design,锁相环设计,
Comparator Design Techniques,比较器设计技术,
UltraFast comparators,超高速比较器,
seven nanosecond comparator,7纳秒比较器,
micropower operation,微功耗工作,
Ultralow power comparators,超低功耗比较器,
Jim Williams,吉姆·威廉姆斯,
VPP,编程电压,
74C04,74C04,
Intel 28F256,英特尔 28F256,
ETOX process,ETOX 工艺,
Craig Varga,克雷格·瓦尔加,
LT1584,LT1584,
Dropout voltage,压差电压,
Dual μModule regulator,双通道μModule稳压器,
Dual 1.5V/20A and 1.2V/20A converter,双通道1.5 V/20 A和1.2 V/20 A转换器,
Dual band mobile phone,双频移动电话,
Dual buck 1.5A LED driver,双路降压1.5 A LED驱动器,
Dual channel Hot Swap controller/power sequencer,双通道热插拔控制器/电源时序控制器,
Dual current-sense amplifiers,双通道电流检测放大器,
Dual input pair zaps common mode noise pickup,双输入对抑制共模噪声拾取,
Dual level current control,双级电流控制,
Dual output buck regulator,双输出降压稳压器,
Dual output synchronous boost converter,双输出同步升压转换器,
Dual-phase switching,双相开关,
Dying gasp applications,断电告警应用,
Easy Drive delta-sigma analog-to-digital converters,Easy Drive型Δ-Σ模数转换器,
on-chip buffers,片上缓冲器,
Easy output voltage programming,简易输出电压编程,
Economical SXGA/HD cable driver,经济型SXGA/HD电缆驱动器,
Effective series resistance per capacitance (ESR/C),单位电容的有效串联电阻（ESR/C）,
Efficiency for the circuit,电路效率,
EIA RS485 data transmission standard,EIA RS-485数据传输标准,
Electric double layer capacitors (EDLCs),双电层电容器（EDLC）,
Electromagnetic interference (EMI),电磁干扰（EMI）,
Electronic Circuit Breaker (ECB),电子断路器（ECB）,
Electrostatic discharge (ESD),静电放电（ESD）,
"Elliptic filter, 4th order",四阶椭圆滤波器,
"Elliptic lowpass filter, 4th order",四阶椭圆低通滤波器,
EN (Enable) pin,使能（EN）引脚,
Equivalent series resistance (ESR),等效串联电阻（ESR）,
Error sources,误差源,
Ethernet systems,以太网系统,
Extended digital interface data (EDID),扩展显示识别数据（EDID）,
External N-channel MOSFETs,外部N沟道MOSFET,
External power input,外部电源输入,
Fast current monitor transient response,快速电流监测瞬态响应,
Fast pulse detector,快速脉冲检测器,
"Fast signals, gated measurements of",快速信号的门控测量,
Faster data transfer requirements,更高速数据传输需求,
FAULT pin,FAULT引脚,
Fault-tolerant systems,容错系统,
FCB pin,FCB引脚,
Feature-rich controller,功能丰富的控制器,
FETKY MOSFETs,FETKY MOSFET,
Fiber optic communication systems,光纤通信系统,
Field-effect transistors (FETs),场效应晶体管（FET）,
Filter circuit,滤波电路,
FilterCAD 3.0 (FCAD),FilterCAD 3.0（FCAD）,
FilterCAD program,FilterCAD程序,
FireWire power sources,FireWire电源,
Firmware solutions,固件解决方案,
FLAG function,标志（FLAG）功能,
Flash type memories,闪存,
Flashlamp circuitry,闪光灯电路,
Floating CCFL with dual polarity contrast,带双极性对比度的浮动式CCFL,
Floating input and regulator capabilities,浮动输入和稳压能力,
Flyback design,反激式设计,
Flying sense resistor,飞跨式检测电阻,
Forced continuous mode (FCM),强制连续导通模式（FCM）,
Frequency division,频率分频,
Fuse detection,熔丝检测,
Analog-to-Digital,模数,
ADC,模数转换器,
ΔΣ ADCs,ΔΣ模数转换器,
RTDs,电阻温度检测器,
thermocouples,热电偶,
Figure 338.2,图338.2,
switched capacitor array,开关电容阵列,
coarse/fine input sampling,粗/精输入采样,
25MHz gain-bandwidth op amp,25MHz增益带宽运算放大器,
OPTI-LOOP compensation scheme,OPTI-LOOP补偿方案,
550kHz clock frequency,550kHz时钟频率,
5V input voltage,5V输入电压,
1μH inductor,1μH电感,
Fairchild SO-8 MOSFETs,仙童SO-8封装MOSFET,
Murata surface mount inductor,村田表面贴装电感,
470μF tantalum capacitors,470μF钽电容,
High frequency active anti-aliasing filters,高频有源抗混叠滤波器,
LT6600-10,LT6600-10,
signal to noise ratio,信噪比,
SNR,信噪比,
LT1819,LT1819,
RC lowpass filter,RC低通滤波器,
battery-fed system,电池供电系统,
USB port,USB端口,
PowerPath ICs,PowerPath集成电路,
intermediate bus voltage topology,中间总线电压拓扑,
third generation of USB PowerPath chargers,第三代USB PowerPath充电器,
Bat-Track feature,Bat-Track功能,
Figure 198.2,图198.2,
switching vs linear PowerPath systems,开关式与线性PowerPath系统,
I2C interface,I2C接口,
pulse-skipping mode,跳脉冲模式,
LDO mode,LDO模式,
Figure 198.3,图198.3,
real-time clock,实时时钟,
pushbutton monitor,按键监控器,
Video Design Solutions,视频设计解决方案,
SXGA,SXGA,
1280 × 1024 pixel,1280×1024像素,
High resolution video input-port multiplexer,高分辨率视频输入端口多路复用器,
VESA-compliant D-type PC connection,符合VESA标准的D型PC接口,
RCA jacks,RCA接口,
Y-channel,Y通道,
analog-to-digital converter set,模数转换器组,
UXGA,UXGA,
750MHz bandwidth,750MHz带宽,
6.5ns settling time,6.5纳秒建立时间,
SSOP-24,SSOP-24,
QFN-24,QFN-24,
AC-coupling,交流耦合,
2.6VP–P,2.6伏峰峰值,
quasi rail-to-rail output stage,准轨至轨输出级,
400MHz large signal bandwidth,400MHz大信号带宽,
gain-setting resistors,增益设置电阻,
input biasing system,输入偏置系统,
Figure 319.2,图319.2,
blocking capacitors,隔直电容,
DC-coupled applications,直流耦合应用,
digital-to-analog converter,数模转换器,
LT6558,LT6558,
QFN-16,QFN-16,
3mm × 3mm,3毫米×3毫米,
current-feedback op amp,电流反馈运算放大器,
301Ω,301欧姆,
1080p HD format,1080p高清格式,
60MHz lowpass,60MHz低通,
automotive applications,汽车应用,
telecom applications,电信应用,
industrial applications,工业应用,
42V,42V,
48V,48V,
72V,72V,
80V,80V,
12V,12伏,
8-lead MSOP package,8引脚MSOP封装,
θJA,结-环境热阻,
Micromodule,微模块,
μModule,μModule,
Dual 13A μModule regulator,双通道13A μModule稳压器,
digital interface,数字接口,
remote monitoring & control of power,电源远程监控与控制,
"36V input, low output noise, 5A μModule regulator",36V输入、低输出噪声、5A μModule稳压器,
precision data acquisition systems,精密数据采集系统,
Step-down μModule regulator,降压型μModule稳压器,
15A output,15A输出,
bias supply,偏置电源,
Dual μModule DC/DC regulator,双通道μModule DC/DC稳压器,
high efficiency 4A outputs,高效率4A输出,
4.5V to 26.5V input,4.5V至26.5V输入,
Triple output DC/DC μModule regulator,三路输出DC/DC μModule稳压器,
15mm × 15mm × 2.8mm surface mount package,15mm × 15mm × 2.8mm表面贴装封装,
discrete components,分立元件,
Dual 8A DC/DC μModule regulator,双通道8A DC/DC μModule稳压器,
paralleled,并联,
wide input and output voltage range applications,宽输入输出电压范围应用,
"8A low voltage, low profile DC/DC μModule regulator",8A低压、低剖面DC/DC μModule稳压器,
9mm × 15mm package,9mm × 15mm封装,
4-output point-of-load DC/DC μModule system,四路输出负载点DC/DC μModule系统,
10A high performance point-of-load DC/DC μModule regulator,10A高性能负载点DC/DC μModule稳压器,
Switching Regulators for Isolated Power Design,用于隔离电源设计的开关稳压器,
Isolated converters,隔离式转换器,
buck simplicity and performance,降压拓扑的简洁性与性能,
Multiple output isolated power supply,多路输出隔离电源,
secondary side synchronous post regulator,副边同步后级稳压器,
Chip set,芯片组,
48V telecom modules,48V电信模块,
5V high current step-down switchers,5V大电流降压型开关稳压器,
5V supply,5伏电源,
buck type switching regulators,降压型开关稳压器,
12V supply,12V电源,
multiprocessor systems,多处理器系统,
Figure 19.1,图19.1,
Linear Technology Application Notes,凌力尔特应用笔记,
Burst Mode,突发模式,
Half-bridge digitizer with zero-scale and full-scale sense,零刻度与满刻度感应半桥式数字化仪,
H-bridge power-transistor topology,H桥功率晶体管拓扑结构,
H-bridge problem solving,H桥问题求解,
Hewlett-Packard HP-4195A network,惠普HP-4195A网络分析仪,
Hex level shift shrinks board space,六路电平移位缩小电路板空间,
High accuracy oxygen sensor,高精度氧气传感器,
High definition multimedia interface (HDMI),高清多媒体接口（HDMI）,
LTC4300A-1 bus buffer,LTC4300A-1总线缓冲器,
LTC4300A-3 level shifting buffer,LTC4300A-3电平移位缓冲器,
High efficiency 3.3V regulator,高效率3.3V稳压器,
High efficiency 36V–72V to 2.5V/6A power supply,高效率36V–72V至2.5V/6A电源,
High efficiency dual 8.5V/3.3V output step-down converter,高效率双路8.5V/3.3V输出降压转换器,
High efficiency ThinSOT white LED driver,高效率ThinSOT白光LED驱动器,
High efficiency white LED driver,高效率白光LED驱动器,
High frequency active antialiasing filters,高频有源抗混叠滤波器,
antialiasing 10MHz filters,10MHz抗混叠滤波器,
High linearity components,高线性度器件,
High performance DC-to-DC converter,高性能DC-DC转换器,
High performance op amps,高性能运算放大器,
High power boost converters,高功率升压转换器,
High power LEDs,高功率LED,
High power supply rejection ratio (PSRR),高电源抑制比（PSRR）,
High power white LEDs,高功率白光LED,
High resolution video solutions economical SXGA/HD cable driver,高分辨率视频解决方案：经济型SXGA/HD电缆驱动器,
input-port multiplexer,输入端口多路复用器,
single-supply cable driver,单电源电缆驱动器,
High speed ADC driving,高速ADC驱动,
High speed differential SCSI,高速差分SCSI,
High speed layout techniques,高速布局技术,
high-powered LEDs,高功率LED,
High-bit-rate Digital Subscriber Line (HDSL),高速数字用户线路（HDSL）,
Hot Swap and buffer I2C buses,热插拔及缓冲I²C总线,
system clock (SCL) line,系统时钟（SCL）线,
system data (SDA),系统数据（SDA）线,
Hot Swap circuit InfiniBand specification,热插拔电路InfiniBand规范,
Human Body Model,人体模型,
HVIN voltage,HVIN电压,
Hysteresis,迟滞,
1.265V ±10mV,1.265V ±10mV,
0.1% resistor divider string,0.1%电阻分压器串,
load regulation,负载调整率,
line regulation,线性调整率,
0°C to 70°C temperature range,0°C至70°C温度范围,
100kHz to 500kHz,100kHz至500kHz,
200kHz,200 kHz,
FREQ pin,FREQ引脚,
50μs,50μs,
1μA,1μA,
5V to 3.3V application,5V转3.3V应用,
PC motherboard,PC主板,
system 5V ±5% supply,系统5V ±5%电源,
Figure 18.1,图18.1,
3.3V ±1% output voltage,3.3V ±1%输出电压,
12A output current limit,12A输出电流限制,
16k resistor R1,16k电阻R1,
PVCC,PVCC,
IMAX,IMAX,
0.035Ω on resistance,0.035Ω导通电阻,
"MOSFETs (M1a, M1b)",MOSFET（M1a、M1b）,
0.1μF capacitor,0.1微法电容,
CSS,CSS,
0.01μF,0.01μF,
3ms start-up time,3ms启动时间,
"2.7μH, 15A inductor",2.7μH、15A电感,
inductor core,电感磁芯,
output short circuits,输出短路,
peak ripple current,峰值纹波电流,
output current slew rate,输出电流变化率,
large-signal transient response,大信号瞬态响应,
1μH to 10μH range,1μH至10μH范围,
Monolithic switched-capacitor lowpass filters,单片开关电容低通滤波器,
Monolithic synchronous step-down regulator,单片同步降压稳压器,
MPUs,微处理器单元,
MS8 packages,MS8封装,
MSOP package,MSOP封装,
MTB50N06EL,MTB50N06EL,
MTP50N05EL MOSFET,MTP50N05EL MOSFET,
Multiple output range 16-bit DAC design,多输出范围16位DAC设计,
Multiple power supplies track,多电源跟踪,
Multiple supply voltages and currents,多路供电电压与电流,
Multiplex amplifiers,多路复用放大器,
N-channel logic level MOSFET,N沟道逻辑电平MOSFET,
N-channel MOSFET,N沟道MOSFET,
NiCads,镍镉电池,
NiCd battery charger,镍镉电池充电器,
NiCd/NiMH battery charging,镍镉/镍氢电池充电,
Nickel cadmium (NiCd),镍镉（NiCd）,
Nickel metal hydride (NiMH),镍金属氢化物（NiMH）,
NiMH battery charger,镍氢电池充电器,
Noise analysis,噪声分析,
Noise calculations,噪声计算,
Noise figure (NF) to signal-to-noise ratio,噪声系数（NF）到信噪比,
Noise measurements,噪声测量,
Notch filter,陷波滤波器,
NTSC subcarrier tunable crystal oscillator,NTSC副载波可调晶体振荡器,
No-Opto operation,无光耦操作,
open- and shorted-LED protection,开路和短路LED保护,
TRIAC dimmer compatibility,可控硅调光器兼容性,
Omega’s 44200 series linear thermistor kits,欧米茄44200系列线性热敏电阻套件,
Op amp noise model,运放噪声模型,
Op amp selection guide,运算放大器选型指南,
OP27,OP27,
Open-architecture ring-tone generator,开放式铃声发生器,
Operational filter blocks,运算滤波器模块,
OPTI-LOOP architecture,OPTI-LOOP架构,
OPTI-LOOP compensation,OPTI-LOOP补偿,
Organic LED (OLED) panels,有机发光二极管（OLED）面板,
OS-CON capacitors,OS-CON电容器,
OUTA pin,OUTA引脚,
OUTB pin,OUTB引脚,
Output boost converter at 8.5A (24V),8.5A（24V）输出升压转换器,
Output common mode voltage (VOCM),输出共模电压（VOCM）,
2-output power supplies block diagram of,双路输出电源框图,
2-output power supplies schematic diagram of,双路输出电源原理图,
Overcurrent fault (OCF),过流故障（OCF）,
Overcurrent protection,过流保护,
"Overloads, adaptive response to",过载自适应响应,
Hua (Walker) Bai,华（沃克）·白,
Figure 61.1,图61.1,
Figure 61.2,图61.2,
Thin-SOT,Thin-SOT封装,
David Bell,大卫·贝尔,
CC/CV,恒流/恒压,
Figure 215.2,图215.2,
ON pin,ON引脚,
GATE1,GATE1,
GATE2,GATE2,
circuit breaker,断路器,
sense resistor,检测电阻,
14-pin version,14引脚版本,
open-drain output comparators,开漏输出比较器,
FB pin,FB引脚,
COMP+,COMP+,
power supply tracking,电源跟踪,
power supply sequencing,电源时序控制,
dual-supply ASIC,双电源ASIC,
back-plane connections,背板连接,
Figure 260.1,图260.1,
VOUT1,VOUT1,
VOUT2,VOUT2,
VIN2,VIN2,
VIN1,VIN1,
Figure 260.2,图260.2,
CLOAD1,CLOAD1,
CLOAD2,CLOAD2,
L1A,L1A,
L1B,L1B,
Figure 132.3,图132.3,
Figure 132.4,图132.4,
Figure 132.2,图132.2,
S/S pin,S/S引脚,
Positive to Negative Converter with Direct Feedback,带直接反馈的正转负转换器,
Two Li-Ion Cells to 5V SEPIC Converter,双锂离子电池至5V SEPIC转换器,
12V Output Efficiency,12V输出效率,
NFB pin,NFB引脚,
negative feedback,负反馈,
2.7V to 27V,2.7V至27V,
DFN package,DFN封装,
Orderly power-on,有序上电,
pushbutton,按键,
enable output,使能输出,
KILL input,KILL输入,
512ms timeout period,512毫秒超时周期,
microprocessor,微处理器,
Orderly power-off,有序断电,
interrupt output,中断输出,
Failsafe features,故障保护功能,
UVLO,欠压闭锁,
Power Fail,电源失效,
input supply,输入电源,
200ms delay,200毫秒延迟,
single supply supervisor,单电源监控器,
positive or negative enable polarities,正向或负向使能极性,
Mitchell Lee John Seago,米切尔·李·约翰·西戈,
Figure 220.1,图220.1,
Figure 220.2,图220.2,
Figure 220.3,图220.3,
triboelectric charging,摩擦起电,
human body,人体,
RS232 port,RS232端口,
avalanche diodes,雪崩二极管,
transient suppressors,瞬态抑制器,
ground plane,接地平面,
LC filter,LC滤波器,
CH0,通道0,
CH1,通道1,
CH2,通道2,
CH3,通道3,
CH4,通道4,
CH5,CH5,
CH6,CH6,
CH7,CH7,
VCC,VCC,
GND,GND,
VREF/2,VREF/2,
2.5V,2.5伏,
0°C to 40°C,0°C 至 40°C,
50Hz,50 Hz,
60Hz,60 Hz,
139800Hz,139800 Hz,
48Hz to 62.4Hz,48 Hz 至 62.4 Hz,
Figure 368.2,图368.2,
Sinc4,Sinc4,
cold junction compensation,冷端补偿,
thermistor,热敏电阻,
thermocouple,热电偶,
strain gauge,应变片,
current sense resistor,电流检测电阻,
350Ω bridge,350 Ω 电桥,
half-bridge application,半桥应用,
differential input,差分输入,
single-ended signal,单端信号,
common mode rejection,共模抑制,
line frequency rejection,工频干扰抑制,
digital filter,数字滤波器,
lowpass filter architecture,低通滤波器架构,
RMS to DC Conversion,均方根至直流转换,
WCDMA,WCDMA,
Figure 498.1,图498.1,
Figure 498.2,图498.2,
OIP3,输出三阶截点,
IP3,三阶交调截点,
Step-Down,降压,
1.5V/20A,1.5V/20A,
1.2V/20A,1.2V/20A,
remote sensing,远程检测,
NTC compensated DCR sensing,NTC补偿的DCR检测,
Figure 41.1,图41.1,
dual phase converter,双相转换器,
DCR sensing,DCR检测,
325kHz,325kHz,
gate drivers,栅极驱动器,
dead-time,死区时间,
Figure 41.2,图41.2,
diff amp,差分放大器,
GND planes,接地平面,
Figure 41.3,图41.3,
current limit thresholds,电流限值阈值,
30mV,30mV,
50mV,50毫伏,
75mV,75mV,
ILIM pins,ILIM引脚,
ITEMP pins,ITEMP引脚,
500mV,500mV,
10μA,10μA,
NTC thermistor,NTC热敏电阻,
linearization network,线性化网络,
current limit temperature coefficient,电流限值温度系数,
Figure 41.4,图41.4,
PolyPhase operation,多相操作,
peak current mode architecture,峰值电流模式架构,
DC current sharing,直流电流均流,
single output PolyPhase applications,单输出多相应用,
12-phase operation,12相操作,
CLKOUT,CLKOUT,
MODE/PLLIN pins,MODE/PLLIN引脚,
PHASMD pins,PHASMD引脚,
ripple current cancellation,纹波电流抵消,
clock delay,时钟延迟,
250kHz,250千赫兹,
770kHz,770kHz,
phase lock loop,锁相环,
discontinuous mode operation,断续模式操作,
continuous conduction mode,连续导通模式,
38V,38V,
100ns,100ns,
minimum on-time,最小导通时间,
step-down ratios,降压比,
TK/SS pin,TK/SS引脚,
rail tracking,轨跟踪,
RUN,RUN,
PGOOD pins,PGOOD引脚,
6mm × 6mm QFN,6mm × 6mm QFN,
38-lead TSSOP package,38引脚TSSOP封装,
Power Management Design,电源管理设计,
LT1952 PWM controller,LT1952 PWM控制器,
undervoltage lockout (UVLO),欠压闭锁（UVLO）,
leading edge blanking,前沿消隐,
current slope compensation,电流斜率补偿,
hysteretic start-up,迟滞启动,
adaptive volt-second clamp,自适应伏秒钳位,
single switch forward converter,单开关正激变换器,
MOSFET,MOSFET,
power transformer,功率变压器,
synchronous forward converter,同步正激变换器,
eighth brick footprint,八分之一砖封装尺寸,
ceramic output capacitors,陶瓷输出电容,
Hot Swap and Circuit Protection,热插拔与电路保护,
Figure 255.1,图255.1,
gate capacitor,栅极电容,
inrush current,浪涌电流,
RSENSE,RSENSE,
Figure 255.2,图255.2,
LTC1422CS8,LTC1422CS8,
FILTER pin,滤波引脚,
CFILTER,滤波电容,
dI/dt dip,di/dt跌落,
wiring harness,线束,
input clamping,输入钳位,
LTC4211CS8,LTC4211CS8,
Figure 485.2,图485.2,
Figure 485.3,图485.3,
Figure 485.4,图485.4,
Figure 485.5,图485.5,
RSET,RSET,
RIN,RIN,
VIN,输入电压,
VSET,VSET,
VRES,VRES,
fOSC,fOSC,
fOSC(MAX),fOSC(MAX),
fOSC(MIN),fOSC(MIN),
VIN(MAX),VIN(MAX),
VIN(MIN),VIN(MIN),
25°C,25°C,
George Erdi,乔治·埃尔迪,
LT1178,LT1178,
Figure 454.1,图454.1,
Figure 112.1,图112.1,
Figure 112.3,图112.3,
SCR,可控硅整流器,
NPN-PNP,NPN-PNP,
Bat-Track,Bat-Track,
WALL,WALL,
OVSENS,OVSENS,
LT3480,LT3480,
Figure 312.1,图312.1,
OVGATE,OVGATE,
HVIN,HVIN,
BVDSS,BVDSS,
Li-Ion battery,锂离子电池,
automotive power system,汽车电源系统,
Mark Jordan,马克·乔丹,
adaptive slope compensation,自适应斜率补偿,
MSOP-10,MSOP-10,
NMOS,NMOS,
PMOS,PMOS,
Flyback Converter,反激式转换器,
EFD15,EFD15,
ferrite core,铁氧体磁芯,
primary inductance,初级电感,
turns ratio,匝数比,
aluminum electrolytic,铝电解电容,
damping,阻尼,
frequency compensation,频率补偿,
D-PAK IRFU420,D-PAK IRFU420,
gate charge,栅极电荷,
switching losses,开关损耗,
output rectifier,输出整流器,
CMSH2-60,CMSH2-60,
VCC pin,VCC引脚,
bias winding,偏置绕组,
undervoltage lockout,欠压闭锁,
operating frequency,工作频率,
OSCAP pin,OSCAP引脚,
output voltage feedback,输出电压反馈,
flyback signal,反激信号,
output rectifier D2,输出整流器D2,
VC pin,VC引脚,
current sense,电流检测,
blanking time,消隐时间,
DC offset,直流偏置,
line conditions,输入电压条件,
high frequency filter,高频滤波器,
Filter Design,滤波器设计,
Bessel lowpass filter,贝塞尔低通滤波器,
cutoff frequency,截止频率,
LTC1563-X,LTC1563-X,
LTC1563-2,LTC1563-2,
step response,阶跃响应,
16-bit data acquisition systems,16位数据采集系统,
rail-to-rail input and output,轨到轨输入输出,
output DC offset,输出直流偏移,
output DC offset drift,输出直流偏移温漂,
25.6kHz,25.6 kHz,
low power mode,低功耗模式,
16-lead SSOP package,16引脚窄体SSOP封装,
SO-8 footprint,SO-8封装尺寸,
2% frequency accuracy,2%频率精度,
Chebyshev filters,切比雪夫滤波器,
2nd order sections,二阶节,
4th order filter,四阶滤波器,
fO frequency,fO频率,
Q value,Q值,
8th order filters,八阶滤波器,
5th order filter,五阶滤波器,
master,主控,
slave,从控,
gm error amplifier,跨导误差放大器,
ITH pins,ITH引脚,
current mode regulator,电流模式稳压器,
PolyPhase power supply,多相电源,
synchronous buck output stages,同步降压输出级,
switching frequency,开关频率,
1.3μH/15A inductor,1.3 μH/15 A电感,
single phase,单相,
2-phase,两相,
input ripple current,输入纹波电流,
